num,City
1,Aaron
2,Aaronsburg
3,Abbeville
4,Abbotsford
5,Abbott
6,Abbottstown
7,Abell
8,Abercrombie
9,Aberdeen
10,Aberdeen Proving Ground
11,Abernant
12,Abie
13,Abilene
14,Abingdon
15,Abington
16,Abiquiu
17,Abita Springs
18,Abrams
19,Absaraka
20,Absecon
21,Accident
22,Accokeek
23,Accomac
24,Accord
25,Accoville
26,Ace
27,Achille
28,Achilles
29,Ackerly
30,Ackerman
31,Ackermanville
32,Ackley
33,Ackworth
34,Acme
35,Acosta
36,Acton
37,Acushnet
38,Acworth
39,Ada
40,Adair
41,Adairsville
42,Adairville
43,Adak
44,Adamant
45,Adams
46,Adams Center
47,Adams Run
48,Adamsburg
49,Adamstown
50,Adamsville
51,Addieville
52,Addington
53,Addis
54,Addison
55,Addy
56,Addyston
57,Adel
58,Adelanto
59,Adell
60,Adelphi
61,Adena
62,Adger
63,Adirondack
64,Adkins
65,Admire
66,Adna
67,Adolph
68,Adolphus
69,Adona
70,Adrian
71,Advance
72,Advent
73,Afton
74,Agar
75,Agate
76,Agawam
77,Agency
78,Agoura Hills
79,Agra
80,Aguanga
81,Aguila
82,Aguilar
83,Ahmeek
84,Ahoskie
85,Ahsahka
86,Ahwahnee
87,Aiea
88,Aiken
89,Ailey
90,Ainsworth
91,Airville
92,Airway Heights
93,Ajo
94,Akaska
95,Akiachak
96,Akiak
97,Akin
98,Akron
99,Alabama
100,Alabaster
101,Alachua
102,Aladdin
103,Alamance
104,Alameda
105,Alamo
106,Alamogordo
107,Alamosa
108,Alanson
109,Alapaha
110,Alba
111,Albany
112,Albemarle
113,Albers
114,Albert
115,Albert City
116,Albert Lea
117,Alberta
118,Alberton
119,Albertson
120,Albertville
121,Albia
122,Albion
123,Alborn
124,Albright
125,Albrightsville
126,Albuquerque
127,Alburg
128,Alburtis
129,Alcester
130,Alco
131,Alcolu
132,Alcove
133,Alda
134,Alden
135,Aldenville
136,Alder
137,Alder Creek
138,Alderpoint
139,Alderson
140,Aldie
141,Aledo
142,Aleknagik
143,Alex
144,Alexander
145,Alexander City
146,Alexandria
147,Alexandria Bay
148,Alexis
149,Alfred
150,Alfred Station
151,Alger
152,Algodones
153,Algoma
154,Algona
155,Algonac
156,Alhambra
157,Alice
158,Aliceville
159,Alicia
160,Alief
161,Aline
162,Aliquippa
163,Aliso Viejo
164,Alix
165,Alkol
166,Allakaket
167,Allamuchy
168,Allardt
169,Alledonia
170,Alleene
171,Allegan
172,Allegany
173,Alleghany
174,Allegre
175,Alleman
176,Allen
177,Allen Junction
178,Allen Park
179,Allendale
180,Allendorf
181,Allenhurst
182,Allenport
183,Allensville
184,Allenton
185,Allentown
186,Allenwood
187,Allerton
188,Alleyton
189,Alliance
190,Alligator
191,Allison
192,Allison Park
193,Allons
194,Allouez
195,Alloy
196,Allport
197,Allyn
198,Alma
199,Almelund
200,Almena
201,Almira
202,Almo
203,Almond
204,Almont
205,Alna
206,Alpaugh
207,Alpena
208,Alpha
209,Alpharetta
210,Alpine
211,Alplaus
212,Alsea
213,Alsen
214,Alsey
215,Alsip
216,Alston
217,Alta
218,Alta Vista
219,Altadena
220,Altair
221,Altamont
222,Altamonte Springs
223,Altaville
224,Altavista
225,Altenburg
226,Altha
227,Altheimer
228,Altmar
229,Alto
230,Alto Pass
231,Alton
232,Alton Bay
233,Altona
234,Altoona
235,Altura
236,Alturas
237,Altus
238,Altus Afb
239,Alum Creek
240,Alva
241,Alvadore
242,Alvarado
243,Alvaton
244,Alverda
245,Alverton
246,Alvin
247,Alviso
248,Alvo
249,Alvord
250,Alvordton
251,Alvy
252,Ama
253,Amado
254,Amador City
255,Amagansett
256,Amagon
257,Amalia
258,Amana
259,Amanda
260,Amargosa Valley
261,Amarillo
262,Amasa
263,Amberson
264,Ambia
265,Ambler
266,Ambrose
267,Amburgey
268,Ameagle
269,Amelia
270,Amelia Court House
271,Amenia
272,American Falls
273,American Fork
274,Americus
275,Amery
276,Ames
277,Amesville
278,Amf Ohare
279,Amherst
280,Amherst Junction
281,Amherstdale
282,Amidon
283,Amigo
284,Amiret
285,Amissville
286,Amistad
287,Amite
288,Amity
289,Amityville
290,Amlin
291,Amma
292,Ammon
293,Amo
294,Amonate
295,Amoret
296,Amorita
297,Amory
298,Amsden
299,Amsterdam
300,Amston
301,Anabel
302,Anadarko
303,Anaheim
304,Anahola
305,Anaktuvuk Pass
306,Analomink
307,Anamoose
308,Anamosa
309,Anawalt
310,Anchor
311,Anchor Point
312,Anchorage
313,Ancona
314,Andale
315,Andalusia
316,Anderson
317,Anderson Island
318,Andersonville
319,Andes
320,Andover
321,Andreas
322,Andrew
323,Andrews
324,Andrews A F B
325,Andrews Air Force Base
326,Aneta
327,Aneth
328,Angel Fire
329,Angela
330,Angelica
331,Angie
332,Angier
333,Angle Inlet
334,Angleton
335,Angola
336,Angoon
337,Angora
338,Anguilla
339,Angus
340,Angwin
341,Aniak
342,Animas
343,Anita
344,Aniwa
345,Ankeny
346,Anmoore
347,Ann Arbor
348,Anna
349,Anna Maria
350,Annabella
351,Annada
352,Annandale
353,Annandale On Hudson
354,Annapolis
355,Annapolis Junction
356,Annawan
357,Annemanie
358,Anniston
359,Annona
360,Annville
361,Anoka
362,Anselmo
363,Anson
364,Ansonia
365,Ansonville
366,Ansted
367,Antelope
368,Antes Fort
369,Anthon
370,Anthony
371,Antigo
372,Antimony
373,Antioch
374,Antler
375,Antlers
376,Antoine
377,Anton Chico
378,Antrim
379,Antwerp
380,Anvik
381,Anza
382,Apache
383,Apache Junction
384,Apison
385,Aplington
386,Apollo
387,Apollo Beach
388,Apopka
389,Appalachia
390,Apple Creek
391,Apple Grove
392,Apple Springs
393,Apple Valley
394,Applegate
395,Appleton
396,Appomattox
397,Aptos
398,Aquasco
399,Aquashicola
400,Aquebogue
401,Aquilla
402,Aquone
403,Arab
404,Arabi
405,Aragon
406,Aransas Pass
407,Arapaho
408,Arapahoe
409,Ararat
410,Arbela
411,Arboles
412,Arbon
413,Arbovale
414,Arbyrd
415,Arcade
416,Arcadia
417,Arcanum
418,Arcata
419,Arch Cape
420,Archbold
421,Archer
422,Archer City
423,Archie
424,Arco
425,Arcola
426,Arden
427,Ardenvoir
428,Ardmore
429,Ardoch
430,Ardsley On Hudson
431,Aredale
432,Arena
433,Arenas Valley
434,Arendtsville
435,Arenzville
436,Argenta
437,Argillite
438,Argonia
439,Argusville
440,Argyle
441,Ariel
442,Arion
443,Aripeka
444,Arispe
445,Aristes
446,Ariton
447,Arivaca
448,Arjay
449,Arkabutla
450,Arkadelphia
451,Arkdale
452,Arkoma
453,Arkport
454,Arkville
455,Arlee
456,Arlington
457,Arlington Heights
458,Arma
459,Armagh
460,Armbrust
461,Arminto
462,Armona
463,Armonk
464,Armorel
465,Armour
466,Armstrong
467,Armstrong Creek
468,Armuchee
469,Arnaudville
470,Arnegard
471,Arnett
472,Arnold
473,Arnolds Park
474,Arnoldsburg
475,Arnot
476,Aroda
477,Arpin
478,Arrey
479,Arriba
480,Arrington
481,Arrow Rock
482,Arrowsmith
483,Arroyo Grande
484,Arroyo Hondo
485,Artemas
486,Artemus
487,Artesia
488,Artesia Wells
489,Arthur
490,Artois
491,Arvada
492,Arverne
493,Arvilla
494,Arvonia
495,Ary
496,Asbury
497,Ascutney
498,Ash
499,Ash Flat
500,Ash Fork
501,Ash Grove
502,Ashburn
503,Ashburnham
504,Ashby
505,Ashcamp
506,Ashdown
507,Asheboro
508,Asher
509,Asherton
510,Asheville
511,Ashfield
512,Ashford
513,Ashippun
514,Ashland
515,Ashland City
516,Ashley
517,Ashley Falls
518,Ashmore
519,Ashtabula
520,Ashton
521,Ashuelot
522,Ashville
523,Ashwood
524,Askov
525,Asotin
526,Aspen
527,Aspers
528,Aspinwall
529,Assaria
530,Assawoman
531,Assonet
532,Assumption
533,Astatula
534,Aston
535,Astor
536,Astoria
537,Atalissa
538,Atascadero
539,Atascosa
540,Atchison
541,Atglen
542,Athelstane
543,Athena
544,Athens
545,Atherton
546,Athol
547,Athol Springs
548,Atka
549,Atkins
550,Atkinson
551,Atlanta
552,Atlantic
553,Atlantic Beach
554,Atlantic City
555,Atlantic Highlands
556,Atlantic Mine
557,Atmore
558,Atoka
559,Atomic City
560,Atqasuk
561,Attalla
562,Attapulgus
563,Attica
564,Attleboro Falls
565,Atwater
566,Atwood
567,Au Gres
568,Au Sable Forks
569,Au Train
570,Auberry
571,Aubrey
572,Auburn
573,Auburn Hills
574,Auburn University
575,Auburndale
576,Audubon
577,Augusta
578,Augusta Springs
579,Auke Bay
580,Aulander
581,Ault
582,Aurelia
583,Auriesville
584,Aurora
585,Austell
586,Austerlitz
587,Austin
588,Austinburg
589,Austinville
590,Austwell
591,Autaugaville
592,Auto
593,Autryville
594,Auxier
595,Auxvasse
596,Ava
597,Avalon
598,Avant
599,Avawam
600,Avella
601,Avenal
602,Avenel
603,Avenue
604,Averill
605,Averill Park
606,Avery
607,Avery Island
608,Avilla
609,Avinger
610,Avis
611,Avoca
612,Avon
613,Avon Lake
614,Avon Park
615,Avondale
616,Avondale Estates
617,Avonmore
618,Awendaw
619,Axson
620,Axtell
621,Axton
622,Ayden
623,Aydlett
624,Aylett
625,Aynor
626,Ayr
627,Azalea
628,Azalia
629,Azle
630,Aztec
631,Azusa
632,Babcock
633,Babson Park
634,Backus
635,Baconton
636,Bacova
637,Bad Axe
638,Baden
639,Badger
640,Badin
641,Bagdad
642,Baggs
643,Bagley
644,Bagwell
645,Bailey
646,Baileys Harbor
647,Baileyville
648,Bainbridge
649,Bainbridge Island
650,Bainville
651,Bairdford
652,Bairoil
653,Baker
654,Baker City
655,Baker Hill
656,Bakers Mills
657,Bakers Summit
658,Bakersfield
659,Bakerstown
660,Bakersville
661,Bakerton
662,Bala Cynwyd
663,Balaton
664,Balch
665,Bald Knob
666,Baldwin
667,Baldwin City
668,Baldwin Park
669,Baldwin Place
670,Baldwinsville
671,Baldwinville
672,Baldwyn
673,Balfour
674,Balko
675,Ball Ground
676,Ballantine
677,Ballengee
678,Ballentine
679,Ballico
680,Ballouville
681,Ballwin
682,Balm
683,Balmorhea
684,Balsam
685,Balta
686,Baltic
687,Baltimore
688,Bamberg
689,Bancroft
690,Bandana
691,Bandera
692,Bandy
693,Bangor
694,Bangs
695,Banks
696,Banner
697,Banner Elk
698,Banning
699,Banquete
700,Bantam
701,Bantry
702,Bapchule
703,Bar Harbor
704,Baraga
705,Barataria
706,Barber
707,Barbers Point N A S
708,Barberton
709,Barberville
710,Barboursville
711,Barco
712,Bard
713,Bardolph
714,Bardwell
715,Bargersville
716,Barhamsville
717,Baring
718,Barker
719,Barksdale Afb
720,Barling
721,Barlow
722,Barnard
723,Barnardsville
724,Barnegat Light
725,Barnes
726,Barnes City
727,Barnesboro
728,Barneston
729,Barnesville
730,Barnet
731,Barnett
732,Barneveld
733,Barney
734,Barnhart
735,Barnhill
736,Barnsdall
737,Barnstable
738,Barnstead
739,Barnum
740,Baroda
741,Barre
742,Barren Springs
743,Barrett
744,Barrington
745,Barron
746,Barrow
747,Barry
748,Barryton
749,Barrytown
750,Barryville
751,Barstow
752,Bart
753,Bartelso
754,Bartlesville
755,Bartlett
756,Bartley
757,Barto
758,Barton
759,Barton City
760,Bartonsville
761,Bartow
762,Barwick
763,Basalt
764,Basco
765,Bascom
766,Basehor
767,Basile
768,Basin
769,Baskerville
770,Baskett
771,Baskin
772,Basking Ridge
773,Basom
774,Bass
775,Bass Harbor
776,Bassett
777,Bassfield
778,Bastian
779,Bastrop
780,Basye
781,Bat Cave
782,Batavia
783,Batchtown
784,Bates
785,Bates City
786,Batesland
787,Batesville
788,Bath
789,Bath Springs
790,Bathgate
791,Baton Rouge
792,Batson
793,Battiest
794,Battle Creek
795,Battle Lake
796,Battleboro
797,Battlement Mesa
798,Battletown
799,Baudette
800,Baughman
801,Bausman
802,Bauxite
803,Bavon
804,Baxley
805,Baxter
806,Baxter Springs
807,Bay
808,Bay City
809,Bay Pines
810,Bay Port
811,Bay Saint Louis
812,Bay Shore
813,Bay Springs
814,Bayard
815,Bayboro
816,Bayfield
817,Baylis
818,Bayonne
819,Bayou Goula
820,Bayou La Batre
821,Bayport
822,Bays
823,Bayside
824,Baytown
825,Bayview
826,Bayville
827,Bazine
828,Beach
829,Beach Haven
830,Beachwood
831,Beacon
832,Beacon Falls
833,Beaconsfield
834,Beale Afb
835,Bealeton
836,Beallsville
837,Beals
838,Beaman
839,Bean Station
840,Bear Creek
841,Bear Lake
842,Bear Mountain
843,Bear River City
844,Bearcreek
845,Bearden
846,Beards Fork
847,Beardsley
848,Beardstown
849,Bearsville
850,Beasley
851,Beason
852,Beatrice
853,Beattie
854,Beatty
855,Beattyville
856,Beaufort
857,Beaumont
858,Beauty
859,Beaver
860,Beaver Bay
861,Beaver City
862,Beaver Creek
863,Beaver Crossing
864,Beaver Dam
865,Beaver Falls
866,Beaver Island
867,Beaver Meadows
868,Beaver Springs
869,Beaverdale
870,Beaverdam
871,Beaverlett
872,Beaverton
873,Beavertown
874,Beaverville
875,Bebe
876,Bechtelsville
877,Becker
878,Becket
879,Beckley
880,Beckwith
881,Beckwourth
882,Bedford
883,Bedford Hills
884,Bedias
885,Bedminster
886,Bedrock
887,Bee
888,Bee Branch
889,Bee Spring
890,Beebe
891,Beebe Plain
892,Beech Bluff
893,Beech Bottom
894,Beech Creek
895,Beech Grove
896,Beech Island
897,Beecher Falls
898,Beechgrove
899,Beechmont
900,Beechwood
901,Beedeville
902,Beeler
903,Beemer
904,Beersheba Springs
905,Beetown
906,Beeville
907,Beirne
908,Bejou
909,Bel Air
910,Bel Alton
911,Belcamp
912,Belcher
913,Belden
914,Belding
915,Belen
916,Belews Creek
917,Belfair
918,Belfast
919,Belford
920,Belfry
921,Belgium
922,Belgrade
923,Belgrade Lakes
924,Belington
925,Belk
926,Belknap
927,Bell
928,Bell Buckle
929,Bell City
930,Bell Gardens
931,Bell Ranch
932,Bella Vista
933,Bellaire
934,Bellamy
935,Bellarthur
936,Bellbrook
937,Belle
938,Belle Chasse
939,Belle Fourche
940,Belle Glade
941,Belle Haven
942,Belle Mina
943,Belle Plaine
944,Belle Rose
945,Belle Vernon
946,Belleair Beach
947,Bellefontaine
948,Bellefonte
949,Bellerose
950,Belleview
951,Belleville
952,Bellevue
953,Bellflower
954,Bellingham
955,Bellmawr
956,Bellmont
957,Bellmore
958,Bellona
959,Bells
960,Bellvale
961,Bellville
962,Bellwood
963,Belmar
964,Belmond
965,Belmont
966,Belmore
967,Beloit
968,Belpre
969,Belsano
970,Belspring
971,Belt
972,Belton
973,Beltrami
974,Beltsville
975,Belva
976,Belvedere Tiburon
977,Belvidere
978,Belvidere Center
979,Belview
980,Belzoni
981,Bement
982,Bemidji
983,Bemus Point
984,Ben Arnold
985,Ben Bolt
986,Ben Lomond
987,Ben Wheeler
988,Bena
989,Benavides
990,Bend
991,Bendena
992,Benedict
993,Benet Lake
994,Benge
995,Benicia
996,Benjamin
997,Bennet
998,Bennett
999,Bennettsville
1000,Bennington
1001,Bens Run
1002,Bensenville
1003,Benson
1004,Bent
1005,Bentley
1006,Bentleyville
1007,Benton
1008,Benton City
1009,Benton Harbor
1010,Benton Ridge
1011,Bentonia
1012,Bentonville
1013,Bentree
1014,Benwood
1015,Benzonia
1016,Berclair
1017,Berea
1018,Beresford
1019,Bergenfield
1020,Berger
1021,Bergheim
1022,Bergland
1023,Bergoo
1024,Berino
1025,Berkeley
1026,Berkeley Heights
1027,Berkeley Springs
1028,Berkley
1029,Berkshire
1030,Berlin
1031,Berlin Center
1032,Bern
1033,Bernalillo
1034,Bernard
1035,Bernardston
1036,Bernardsville
1037,Berne
1038,Bernie
1039,Beroun
1040,Berrien Center
1041,Berrien Springs
1042,Berrysburg
1043,Berryton
1044,Berryville
1045,Bertha
1046,Berthoud
1047,Bertram
1048,Bertrand
1049,Berwick
1050,Berwind
1051,Berwyn
1052,Beryl
1053,Bessemer
1054,Bessemer City
1055,Bessie
1056,Bethalto
1057,Bethania
1058,Bethany
1059,Bethel
1060,Bethel Island
1061,Bethera
1062,Bethesda
1063,Bethlehem
1064,Bethpage
1065,Bethune
1066,Betsy Layne
1067,Bettendorf
1068,Betterton
1069,Bettsville
1070,Beulah
1071,Beulah Heights
1072,Beulaville
1073,Beverly
1074,Beverly Hills
1075,Beverly Shores
1076,Bevier
1077,Bevington
1078,Bevinsville
1079,Bexar
1080,Beyer
1081,Bickleton
1082,Bickmore
1083,Bicknell
1084,Biddeford
1085,Biddeford Pool
1086,Biddle
1087,Bieber
1088,Bienville
1089,Big Arm
1090,Big Bar
1091,Big Bay
1092,Big Bear City
1093,Big Bear Lake
1094,Big Bend
1095,Big Bend National Park
1096,Big Cabin
1097,Big Clifty
1098,Big Cove Tannery
1099,Big Creek
1100,Big Falls
1101,Big Flat
1102,Big Flats
1103,Big Horn
1104,Big Island
1105,Big Lake
1106,Big Laurel
1107,Big Oak Flat
1108,Big Pine
1109,Big Pine Key
1110,Big Piney
1111,Big Pool
1112,Big Rapids
1113,Big Rock
1114,Big Run
1115,Big Sandy
1116,Big Sky
1117,Big Springs
1118,Big Stone Gap
1119,Big Sur
1120,Big Timber
1121,Big Wells
1122,Bigbee Valley
1123,Bigelow
1124,Bigfoot
1125,Bigfork
1126,Biggsville
1127,Bighorn
1128,Bigler
1129,Biglerville
1130,Bill
1131,Billerica
1132,Billings
1133,Billingsley
1134,Biloxi
1135,Bim
1136,Binford
1137,Binger
1138,Bingham
1139,Bingham Canyon
1140,Binghamton
1141,Biola
1142,Bippus
1143,Birch Harbor
1144,Birch River
1145,Birch Run
1146,Birchdale
1147,Birchleaf
1148,Birchrunville
1149,Bird City
1150,Birdeye
1151,Birds
1152,Birds Landing
1153,Birdsboro
1154,Birdseye
1155,Birdsnest
1156,Birmingham
1157,Birome
1158,Bisbee
1159,Biscoe
1160,Bishop
1161,Bishop Hill
1162,Bishopville
1163,Bismarck
1164,Bison
1165,Bittinger
1166,Bivalve
1167,Bivins
1168,Bixby
1169,Black
1170,Black Canyon City
1171,Black Creek
1172,Black Eagle
1173,Black Earth
1174,Black Hawk
1175,Black Lick
1176,Black Mountain
1177,Black Oak
1178,Black River
1179,Black River Falls
1180,Blackduck
1181,Blackey
1182,Blackfoot
1183,Blackford
1184,Blacklick
1185,Blacksburg
1186,Blackshear
1187,Blackstock
1188,Blackstone
1189,Blacksville
1190,Blackville
1191,Blackwater
1192,Blackwell
1193,Blackwood
1194,Bladen
1195,Bladenboro
1196,Bladensburg
1197,Blaine
1198,Blair
1199,Blairs
1200,Blairs Mills
1201,Blairsburg
1202,Blairsden-Graeagle
1203,Blairstown
1204,Blairsville
1205,Blakely
1206,Blakely Island
1207,Blakesburg
1208,Blakeslee
1209,Blanca
1210,Blanchard
1211,Blanchardville
1212,Blanchester
1213,Blanco
1214,Bland
1215,Blandburg
1216,Blandford
1217,Blanding
1218,Blandon
1219,Blandville
1220,Blanford
1221,Blanket
1222,Blanks
1223,Blauvelt
1224,Blawenburg
1225,Bledsoe
1226,Bleiblerville
1227,Blencoe
1228,Blenheim
1229,Blenker
1230,Blevins
1231,Bliss
1232,Blissfield
1233,Blocker
1234,Blocksburg
1235,Blodgett
1236,Blodgett Mills
1237,Blomkest
1238,Bloom City
1239,Bloomburg
1240,Bloomdale
1241,Bloomery
1242,Bloomfield
1243,Bloomfield Hills
1244,Blooming Glen
1245,Blooming Grove
1246,Blooming Prairie
1247,Bloomingburg
1248,Bloomingdale
1249,Bloomingrose
1250,Bloomington
1251,Bloomington Springs
1252,Bloomsburg
1253,Bloomsbury
1254,Bloomsdale
1255,Bloomville
1256,Blossburg
1257,Blossom
1258,Blounts Creek
1259,Blountstown
1260,Blountville
1261,Blowing Rock
1262,Bloxom
1263,Blue
1264,Blue Ball
1265,Blue Bell
1266,Blue Creek
1267,Blue Diamond
1268,Blue Eye
1269,Blue Grass
1270,Blue Hill
1271,Blue Hill Falls
1272,Blue Island
1273,Blue Jay
1274,Blue Mound
1275,Blue Mounds
1276,Blue Mountain
1277,Blue Mountain Lake
1278,Blue Point
1279,Blue Rapids
1280,Blue Ridge
1281,Blue Ridge Summit
1282,Blue River
1283,Blue Rock
1284,Blue Springs
1285,Bluebell
1286,Bluefield
1287,Bluegrove
1288,Bluehole
1289,Bluejacket
1290,Bluemont
1291,Bluewater
1292,Bluff
1293,Bluff City
1294,Bluff Dale
1295,Bluff Springs
1296,Bluffs
1297,Bluffton
1298,Bluford
1299,Blum
1300,Blunt
1301,Bly
1302,Blythe
1303,Blythedale
1304,Blythewood
1305,Board Camp
1306,Boardman
1307,Boaz
1308,Bob White
1309,Boca Grande
1310,Boca Raton
1311,Bock
1312,Bode
1313,Boelus
1314,Boerne
1315,Bogart
1316,Bogata
1317,Boggstown
1318,Bogota
1319,Bogue Chitto
