num,County
1,Aaron
2,Abbeville
3,Acadia
4,Accomack
5,Ada
6,Adair
7,Adams
8,Addison
9,Agoura Hills
10,Aiken
11,Aitkin
12,Akron
13,Alachua
14,Alamance
15,Alameda
16,Alamosa
17,Albany
18,Albemarle
19,Alcona
20,Alcorn
21,Alderson
22,Aldie
23,Aleutians East
24,Aleutians West (CA)
25,Alexander
26,Alexandria (city)
27,Alfalfa
28,Alfred
29,Alger
30,Alice
31,Allamakee
32,Allegan
33,Allegany
34,Alleghany
35,Allegheny
36,Allen
37,Allen Park
38,Allendale
39,Alpena
40,Alpha
41,Alpharetta
42,Alpine
43,Alta
44,Altadena
45,Altamonte Springs
46,Alvy
47,Amador
48,Amarillo
49,Amburgey
50,Amelia
51,Ames
52,Amherst
53,Amiret
54,Amite
55,Anaheim
56,Anchorage
57,Anchorage Municipality
58,Andalusia
59,Anderson
60,Andover
61,Andrew
62,Andrews
63,Andrews A F B
64,Androscoggin
65,Angelina
66,Ankeny
67,Annapolis
68,Anne Arundel
69,Annville
70,Anoka
71,Anson
72,Antelope
73,Antrim
74,Apache
75,Appalachia
76,Appanoose
77,Appling
78,Appomattox
79,Aquone
80,Aransas
81,Arapahoe
82,Archer
83,Archuleta
84,Arcola
85,Arena
86,Arenac
87,Arkansas
88,Arlington
89,Armstrong
90,Aroostook
91,Arthur
92,Ascension
93,Ashburnham
94,Ashe
95,Ashland
96,Ashley
97,Ashtabula
98,Asotin
99,Assumption
100,Atascosa
101,Atchison
102,Athens
103,Atkinson
104,Atlanta
105,Atlantic
106,Atlantic City
107,Atoka
108,Attala
109,Attapulgus
110,Atwood
111,Audrain
112,Audubon
113,Auglaize
114,Augusta
115,Aurora
116,Austell
117,Austin
118,Autauga
119,Avalon
120,Avery
121,Avondale
122,Avoyelles
123,Baca
124,Bacon
125,Bailey
126,Bainbridge
127,Baker
128,Baker Hill
129,Bakersfield
130,Balch
131,Baldwin
132,Ballard
133,Baltimore
134,Baltimore (city)
135,Bamberg
136,Bancroft
137,Bandera
138,Banks
139,Banner
140,Bannock
141,Baraga
142,Barber
143,Barbour
144,Barnes
145,Barnstable
146,Barnwell
147,Barren
148,Barrett
149,Barron
150,Barrow
151,Barry
152,Bartholomew
153,Bartlett
154,Barton
155,Bartow
156,Bass
157,Bastrop
158,Bates
159,Bath
160,Baton Rouge
161,Battle Creek
162,Baughman
163,Bavon
164,Baxter
165,Bay
166,Bay Pines
167,Bayfield
168,Beaconsfield
169,Beadle
170,Bear Lake
171,Beards Fork
172,Beattyville
173,Beaufort
174,Beauregard
175,Beaver
176,Beaverhead
177,Beaverlett
178,Becker
179,Beckham
180,Beckwith
181,Bedford
182,Bedford (city)
183,Bee
184,Beechwood
185,Belknap
186,Bell
187,Belle Chasse
188,Belleair Beach
189,Belmont
190,Beltrami
191,Belvidere
192,Ben Arnold
193,Ben Hill
194,Benewah
195,Bennett
196,Bennington
197,Benson
198,Bent
199,Benton
200,Benzie
201,Bergen
202,Berkeley
203,Berks
204,Berkshire
205,Bernalillo
206,Beroun
207,Berrien
208,Bertie
209,Bethel (CA)
210,Betterton
211,Beulah Heights
212,Bexar
213,Bibb
214,Bienville
215,Big Bend
216,Big Horn
217,Big Rock
218,Big Sandy
219,Big Stone
220,Bigbee Valley
221,Bingham
222,Birmingham
223,Birome
224,Black Hawk
225,Blackford
226,Blacklick
227,Blackstone
228,Bladen
229,Blaine
230,Blair
231,Blakely
232,Blanco
233,Bland
234,Blandville
235,Bloom City
236,Blount
237,Blue Earth
238,Bluehole
239,Bluemont
240,Bluffton
241,Boise
242,Bolivar
243,Bollinger
244,Bon Homme
245,Bond
246,Bonita Springs
247,Bonner
248,Bonneville
249,Boone
250,Borden
251,Boring
252,Bosque
253,Bossier
254,Boston
255,Botetourt
256,Bottineau
257,Boulder
258,Boundary
259,Bourbon
260,Bowen
261,Bowie
262,Bowman
263,Box Butte
264,Box Elder
265,Boy River
266,Boyd
267,Boyero
268,Boyle
269,Boynton Beach
270,Bozoo
271,Bracken
272,Bradford
273,Bradley
274,Branch
275,Brandon
276,Brantley
277,Braxton
278,Brazoria
279,Brazos
280,Brea
281,Breathitt
282,Breckinridge
283,Bremer
284,Brevard
285,Brewster
286,Bridgeland
287,Brinkley
288,Brinson
289,Briscoe
290,Bristol
291,Bristol (city)
292,Bristol Bay
293,Bristow
294,Broad Run
295,Broadwater
296,Brockton
297,Brodhead
298,Bronwood
299,Bronx
300,Brooke
301,Brookings
302,Brooks
303,Brookview
304,Broome
305,Broomfield
306,Broward
307,Brown
308,Browns Fork
309,Brule
310,Bruno
311,Brunswick
312,Bryan
313,Bryceland
314,Buchanan
315,Buckeye
316,Buckingham
317,Bucks
318,Bucks Harbor
319,Buena Vista
320,Buena Vista (city)
321,Buffalo
322,Bullitt
323,Bulloch
324,Bullock
325,Buncombe
326,Burbank
327,Bureau
328,Burke
329,Burkittsville
330,Burleigh
331,Burleson
332,Burlington
333,Burnet
334,Burnett
335,Burney
336,Burnside
337,Burnwell
338,Burt
339,Buskirk
340,Butler
341,Butte
342,Butters
343,Butts
344,Byron
345,Cabarrus
346,Cabell
347,Cache
348,Caddo
349,Cadiz
350,Cairo
351,Calaveras
352,Calcasieu
353,Caldwell
354,Caledonia
355,Calhoun
356,Callahan
357,Callaway
358,Calloway
359,Calumet
360,Calvary
361,Calvert
362,Camas
363,Cambria
364,Camden
365,Cameron
366,Camp
367,Campbell
368,Canadian
369,Canal Point
370,Candler
371,Canebrake
372,Caney
373,Cannon
374,Canton
375,Canyon
376,Cape Girardeau
377,Cape May
378,Capron
379,Carbon
380,Cardiff
381,Caribou
382,Carlisle
383,Carlton
384,Carnarvon
385,Carol Stream
386,Caroline
387,Carroll
388,Carrollton
389,Carson
390,Carson City (city)
391,Carter
392,Carteret
393,Carver
394,Casa Grande
395,Cascade
396,Casey
397,Cass
398,Cassia
399,Castro
400,Caswell
401,Cat Creek
402,Catahoula
403,Catawba
404,Catlett
405,Cato
406,Catoosa
407,Catron
408,Cattaraugus
409,Cauthornville
410,Cavalier
411,Cayuga
412,Cecil
413,Cedar
414,Cedar Springs
415,Cedarbutte
416,Centre
417,Centreville
418,Century
419,Cerro Gordo
420,Chaffee
421,Chambers
422,Chambersburg
423,Champaign
424,Chance
425,Chandler
426,Chantilly
427,Chariton
428,Charles
429,Charles City
430,Charles Mix
431,Charleston
432,Charlevoix
433,Charlotte
434,Charlottesville (city)
435,Charlton
436,Chase
437,Chatfield
438,Chatham
439,Chattooga
440,Chautauqua
441,Chaves
442,Cheatham
443,Cheboygan
444,Chelan
445,Chelsea
446,Chemung
447,Chenango
448,Cherokee
449,Cherry
450,Cherry Hill
451,Chesapeake (city)
452,Cheshire
453,Chester
454,Chesterfield
455,Cheyenne
456,Chicago
457,Chickasaw
458,Chicot
459,Childress
460,Chilton
461,Chippewa
462,Chisago
463,Chittenango
464,Chittenden
465,Choctaw
466,Cholame
467,Chopin
468,Chouteau
469,Chowan
470,Christian
471,Church Hill
472,Churchill
473,Cibola
474,Cicero
475,Cimarron
476,Cincinnati
477,Cinda
478,Citrus
479,Clackamas
480,Claiborne
481,Clallam
482,Clare
483,Clarendon
484,Clarion
485,Clark
486,Clarkdale
487,Clarke
488,Clatsop
489,Clay
490,Clayton
491,Clear Creek
492,Clearfield
493,Clearview
494,Clearwater
495,Cleburne
496,Clermont
497,Cleveland
498,Clifton
499,Clifton Forge
500,Clinch
501,Clinton
502,Clintonville
503,Cloud
504,Coahoma
505,Coal
506,Cobb
507,Cobhill
508,Cochise
509,Cochran
510,Cocke
511,Coconino
512,Codell
513,Codington
514,Coffee
515,Coffey
516,Cohocton
517,Coke
518,Cokedale
519,Colbert
520,Cole
521,Coleman
522,Coles
523,Colfax
524,Colleton
525,Collier
526,Collin
527,Collingsworth
528,Collins
529,Colmar
530,Cologne
531,Colonial Heights (city
532,Colorado
533,Colorado Springs
534,Colquitt
535,Columbia
536,Columbiana
537,Columbus
538,Colusa
539,Comal
540,Comanche
541,Concho
542,Concord
543,Concordia
544,Conecuh
545,Conejos
546,Constance
547,Contra Costa
548,Converse
549,Conway
550,Conyers
551,Cook
552,Cooke
553,Cooper
554,Coos
555,Coosa
556,Copeland
557,Copiah
558,Corinth
559,Corning
560,Corson
561,Cortland
562,Coryell
563,Coshocton
564,Costilla
565,Cotesfield
566,Cottle
567,Cotton
568,Cottonwood
569,Covington
570,Covington (city)
571,Coweta
572,Cowley
573,Cowlitz
574,Craig
575,Craighead
576,Cranberry
577,Craven
578,Crawford
579,Craynor
580,Creek
581,Crenshaw
582,Crisp
583,Crittenden
584,Crockett
585,Crook
586,Crosby
587,Cross
588,Crow Wing
589,Crowell
590,Crowley
591,Crown
592,Crown Hill
593,Crystal
594,Culberson
595,Cullman
596,Culpeper
597,Culver
598,Cumberland
599,Cuming
600,Cumming
601,Cundiff
602,Currituck
603,Curry
604,Custer
605,Cuthbert
606,Cutshin
607,Cuyahoga
608,Cuyama
609,Cuyler
610,Dacula
611,Dade
612,Daggett
613,Daisy
614,Dakota
615,Dale
616,Dallam
617,Dallas
618,Daly City
619,Dames Quarter
620,Dane
621,Daniels
622,Danville (city)
623,Dare
624,Darke
625,Darlington
626,Darlington Heights
