num,sku
1, jjp_15000006-100-NIL
2,4U_Service_22
3,4U_Service_36
4,4U_Service_7
5,7CF5AFBC3B16A32A
6,A4-Tech_Head-Phone-M-660-Bloody
7,ABR5AE2FBE29498D
8,ABT_AUV140-32G-RBE-32GB-UV-140
9,ABT_G100s
10,ABT_K230
11,ABT_K380-Dark Grey
12,ABT_M185- Blue
13,ABZ-218
14,ACT5AA7D350C452C
15,AC_ac-214
16,AC_ac171-purple-L
17,ADE59AC6A448B294
18,ADE59AC6A4968468
19,ADE59AC6A5243FD2
20,ADE59AC773B2DA55
21,ADE59ACB4AAA093B
22,AEYS_ACT-121-XL
23,AG_Softolin Hand Wash Aqua-500ml
24,AG_Softolin Hand Wash Peach-500ml
25,AHM59AC916C2999F
26,AHM59AC9170ACA08
27,AHM59AC91758A148
28,AHM59AC9179EFD06
29,AHM59AC917E74938
30,AHM59ACABA12A79D
31,AHM59C0C55972011
32,AHM59C0C55C9002C
33,AHM59C0C55FACBF4
34,AHM59C0C562C28E5
35,AHM59C0C566004B7
36,AHM59C0C5691B79B
37,AHM59C0C56C31E6D
38,AHM59C0C56F599CC
39,AHM59C0C57285458
40,AHM59C0C5758A5EE
41,AHM59C0C578AA71D
42,AHM59C0C57C536B8
43,AHM59C0C57F574BB
44,AHM59C0C5856725F
45,AHM59C0C58887C8E
46,AHM59C0C58BE0057
47,AHM59C0C58F161B6
48,AHM59C0C5922FB75
49,AHM59C0C5955C09C
50,AHM59C0C59872775
51,AHM59C0C59B9C886
52,AHM59C0C59EA810B
53,AHM59C0C5A1C4DF6
54,AHM59C0C5A4F1D06
55,AHM59C0C5A82666A
56,AHM59C0C5ABA1F90
57,AHM59C0C5B28A854
58,AHM59C0C5B5C75E2
59,AHM59C0C5B90A9B3
60,AHM59C0C5BC18AAD
61,AHM59C0C5BF219A8
62,AHM59C0C5C24237B
63,AHM59C0C5C57392E
64,AHM59C0C5C891668
65,AHM59C0C5CBBAC77
66,AHM59C0C5CEEC465
67,AHM59C0C5D21A301
68,AHM59C0C5DBB8E98
69,AHM59C0C7451B07E
70,AHM59C0C74835509
71,AHM59C0C74B946D1
72,AHM59C0C74EA1F10
73,AHM59C0C751BC310
74,AHM59C0C754E24D7
75,AHM59C0C75815A61
76,AHM59C0C75B17A16
77,AHM59C0C75E52170
78,AHM59C0C76155343
79,AHM59C0C76494F69
80,AHM59C0C767A773C
81,AHM59C0C76E00F22
82,AHM59C0C771E3CC6
83,AHM59C0C775491A2
84,AHM59C0C7784763B
85,AHM5AEAE7634A4D8
86,AHM5AEAE7642D44D
87,AHM5AEAE764C7447
88,AHM5AEAE7656EE87
89,AHM5AEAE76743EF9
90,AHM5AEAE769AC905
91,AHM5AEAE76A5FF41
92,AHM5AEAE76B09BBC
93,AHM5AEAE76BB6C82
94,AHM5AEAE77044F0A
95,AHM5AEAE770D84DD
96,AHM5AEAE77180E25
97,AHM5AEAE7723CF46
98,AHM5AEAE773578E5
99,AHM5AEAE777401C6
100,AHM5AEAE778867F7
101,AHM5AEAE7792A2E0
102,AHM5AEAE77CA17F0
103,AHM5AEAE77D4B4DE
104,AHM5AEAE77DE7F85
105,AHM5AEAE78021FF9
106,AHM5AEAE781363C4
107,AHM5AEAE7824AF6E
108,AHM5AEAE782E2940
109,AHM5AEAE7838D788
110,AHM5AEAE7843162A
